county,precinct,number_active_voters_2024,votesBiden_2020,votesJorgensen_2020,votesTrump_2020,average_voter_age,average_voter_income,average_voter_turnout_2022,average_voter_turnout_2020,average_voter_female,average_voter_reg_democrat,average_voter_reg_republican,average_voter_hispanic,average_voter_afam,deb_fischer,dan_osborn,senate_totals,harris_walz,trump_vance,chaseoliver,cornelwest,jillstein,potus_totals
"ADAMS","JUNIATA",807,12,97,422,52.86,84694.485,.61710036,.78190827,.5043371,.126394,.7001239,.016109,0,501,177,678,106,575,4,1,1,687
"ADAMS","KENESAW",765,6,86,556,50.2314,79499.203,.64836603,.78692812,.475817,.0836601,.7647059,.0078431,.0026144,537,132,669,86,589,0,0,2,677
"ADAMS","ROSELAND",315,6,29,258,53.9619,86671.298,.63492066,.80634922,.5047619,.1428571,.7047619,.0031746,0,213,56,269,28,245,1,0,0,274
"ADAMS","WESTBLUE/HIGHLAND",464,4,50,335,52.3319,110652.57,.61206895,.7866379,.4784483,.0948276,.7672414,.0086207,0,321,91,412,44,361,3,1,0,409
"ANTELOPE","BRUNSWICK",417,4,34,331,53.8801,95163.442,.58033574,.79856116,.4724221,.1103118,.764988,.0191847,0,277,84,361,26,334,0,0,1,361
"ANTELOPE","CLEARWATER",535,2,39,434,53.0561,81551.266,.63551402,.82616824,.4990654,.0934579,.8112149,.0056075,0,369,87,456,35,429,0,0,0,464
"ANTELOPE","ELGIN",697,0,22,216,55.7217,75724.373,.61836439,.80918223,.5136299,.133429,.758967,.0086083,0,486,106,592,51,539,1,1,0,592
"ANTELOPE","NELIGH",1208,4,41,234,56.5493,74595.766,.59354305,.77814567,.5240066,.1324503,.7375828,.0198676,0,740,288,1028,156,883,5,1,0,1045
"ANTELOPE","OAKDALE",294,3,31,236,54.949,68009.147,.59183675,.81292516,.5068027,.1292517,.7006803,.0238095,0,173,76,249,37,213,1,1,0,252
"ANTELOPE","ORCHARD",352,5,44,270,56.446,76679.936,.57102275,.8125,.5170454,.0880682,.7897727,.0085227,0,225,73,298,40,259,1,1,1,302
"ANTELOPE","ROYAL",139,1,15,118,57.7101,71018.432,.64748204,.86330932,.4604317,.1079137,.7769784,.0071942,0,93,20,113,12,104,0,0,0,116
"ANTELOPE","TILDEN",369,1,25,140,56.3957,64005.395,.58536583,.78048778,.5311653,.1355014,.6964769,.0298103,.00271,205,92,297,39,256,3,2,0,300
"ARTHUR","ARTHUR",320,0,0,0,52.875,67169.306,.76249999,.80000001,.50625,.06875,.884375,.009375,0,234,46,280,17,264,1,0,0,282
"BLAINE","BLAINE",333,2,35,280,55.5856,71724.199,.61561561,.83783782,.5285285,.0570571,.8438438,.015015,0,227,64,291,37,250,3,0,1,291
"BOONE","BEAVER",452,11,57,347,53.4889,70422.13,.65265489,.77433628,.4955752,.1349557,.7057522,.0243363,0,262,109,371,54,312,4,2,1,373
"BOONE","BOONE",155,2,14,131,55.0452,96769,.70322579,.83870965,.4387097,.1096774,.7870968,0,0,120,19,139,17,123,0,1,0,141
"BOONE","CEDAR",387,5,81,262,56.6382,78158.406,.74160206,.81912142,.4883721,.2170543,.6640827,.005168,0,208,112,320,78,245,0,3,0,326
"BOONE","DUBLIN-BONANZA",163,3,27,123,54.7362,95288.409,.63190186,.83435583,.4662577,.2147239,.7055215,.0122699,0,100,40,140,32,109,0,0,0,141
"BOONE","NORTH BRANCH-SHELL CREEK",100,0,12,83,58.68,110098.53,.86000001,.88999999,.43,.12,.72,.01,0,69,21,90,11,80,1,0,0,92
"BOONE","NORTH MANCHESTER",487,8,76,394,54.1376,97591.656,.76180696,.83367556,.4845996,.137577,.7453799,.0123203,.0041068,325,100,425,74,350,5,2,1,432
"BOONE","OAKLAND",448,8,60,371,57.4799,93215.291,.80133927,.89285713,.4754464,.1875,.7053571,.0022321,.0089286,355,77,432,53,374,4,0,1,432
"BOONE","SOUTHEAST MANCHESTER",630,18,105,459,54.7302,89923.654,.73809522,.82222223,.5031746,.1619048,.7190476,.0174603,0,414,155,569,107,459,3,1,2,572
"BOONE","SOUTHWEST MANCHESTER",572,10,67,483,54.2802,99041.943,.76573426,.85139859,.5017483,.1171329,.798951,.0052448,0,418,93,511,69,443,4,0,1,517
"BOX BUTTE","PRECINCT 1",599,19,149,378,55.0417,80040.884,.5609349,.77295494,.5041736,.1986644,.6143572,.0751252,0,328,200,528,150,377,2,1,5,535
"BOX BUTTE","PRECINCT 11",835,9,41,313,56.6563,79801.166,.57245511,.79281437,.4550898,.0922156,.7568862,.0239521,0,539,141,680,78,607,4,0,6,695
"BOX BUTTE","PRECINCT 15",893,11,98,641,54.083,91882.005,.60582304,.77155656,.4916013,.1019037,.7290034,.0179171,0,555,194,749,108,648,5,2,1,764
"BOX BUTTE","PRECINCT 2",723,17,135,438,53.5118,62728.897,.40387276,.66804981,.4923928,.1853389,.5615491,.1175657,0,292,201,493,131,365,3,3,1,503
"BOX BUTTE","PRECINCT 3",556,18,120,338,50.8525,71623.783,.45683452,.69424462,.4478417,.2014388,.5233813,.0899281,.0017986,238,184,422,115,307,4,2,1,429
"BOX BUTTE","PRECINCT 4",681,25,132,451,52.6412,65737.109,.49192363,.69456679,.4845815,.1556534,.6343612,.1174743,.0014684,324,201,525,120,416,3,4,0,543
"BOX BUTTE","PRECINCT 5",876,14,155,627,53.4943,87925.4,.5958904,.78538811,.4863014,.152968,.6678082,.0650685,.0011416,470,277,747,175,573,3,3,1,755
"BOX BUTTE","PRECINCT 6",778,11,179,502,55.482,82075.924,.5552699,.77892029,.5437018,.1632391,.6503856,.0501285,0,420,221,641,156,487,3,1,3,650
"BOYD","BUTTE BASIN MCCULLEY",460,6,45,404,58.5978,69620.886,.71521741,.86304349,.4891304,.0826087,.8304348,.0043478,0,366,43,409,54,365,2,0,0,421
"BOYD","LYNCH BRISTOW MULLEN BUSH",299,0,34,227,60.4013,65124.996,.69565219,.80936456,.4949833,.1204013,.7424749,.0033445,0,225,28,253,33,220,1,0,0,254
"BOYD","SPENCER MORTON",443,2,56,378,57.1964,80813.545,.83295709,.89841986,.4853273,.1038375,.7810384,.0022573,0,357,42,399,45,353,2,0,0,400
"BROWN","AINSWORTH",542,3,40,447,56.4114,81829.908,.63284135,.78597784,.4944649,.0405904,.8837638,.001845,0,370,93,463,42,424,2,0,0,468
"BROWN","CITY OF AINSWORTH",904,14,101,707,54.8848,65264.864,.63716817,.77212387,.5221239,.0918142,.8064159,.0154867,0,588,195,783,103,677,3,4,2,789
"BROWN","THE PINES",429,1,50,316,55.1096,74949.701,.58275056,.74358976,.5128205,.0559441,.8344988,.018648,0,279,92,371,54,321,1,1,0,377
"BUFFALO","PRECINCT 1",1131,14,294,704,54.0709,126905.31,.62953138,.81343943,.5128205,.158267,.668435,.025641,0,694,374,1068,314,744,8,1,3,1070
"BUFFALO","PRECINCT 11",795,25,260,358,45.995,67586.486,.44276729,.65660375,.5295597,.2477987,.4716981,.0968553,0,345,293,638,235,409,4,2,2,652
"BUFFALO","PRECINCT 12",925,36,292,445,45.7113,72396.568,.46162161,.68216217,.4713514,.2216216,.5102703,.0616216,.0032432,380,353,733,279,445,6,2,6,738
"BUFFALO","PRECINCT 15",354,4,32,282,53.3164,103129.94,.63276833,.8163842,.480226,.059322,.8502825,.0141243,0,249,62,311,31,272,4,3,0,310
"BUFFALO","PRECINCT 16",708,6,87,510,51.0932,87296.794,.59745765,.79096043,.4985876,.1186441,.7853107,.0056497,0,470,146,616,96,518,1,0,2,617
"BUFFALO","PRECINCT 17",1129,2,40,235,53.1143,76952.104,.6147033,.75642163,.5217006,.1691763,.6519043,.0292294,0,619,317,936,187,748,13,5,2,955
"BUFFALO","PRECINCT 19",674,13,64,514,52.5163,100582.78,.64985162,.83382791,.4792285,.0830861,.7744807,.0074184,0,465,132,597,70,522,5,0,3,600
"BUFFALO","PRECINCT 2",1174,19,286,512,52.5119,105993.1,.56047702,.78534925,.5170358,.1822828,.6175469,.0417376,0,644,376,1020,325,690,6,2,3,1026
"BUFFALO","PRECINCT 22",1177,10,63,259,51.0425,74905.942,.51146984,.74596429,.5004248,.1750212,.6312659,.1393373,.0008496,671,298,969,197,765,2,2,3,969
"BUFFALO","PRECINCT 23",1129,8,101,286,48.0611,68769.726,.43578389,.6829052,.513729,.2382639,.5199292,.0956599,.0008857,495,396,891,316,560,7,5,1,889
"BUFFALO","PRECINCT 25",781,13,105,571,50.2744,84153.315,.60435337,.77848911,.5134443,.128041,.6901408,.0230474,0,427,203,630,95,533,9,2,4,643
"BUFFALO","PRECINCT 27",806,16,101,238,52.5993,124333.23,.60297769,.78411913,.4801489,.1488834,.6712159,.028536,.0049628,469,212,681,173,509,5,1,1,689
"BUFFALO","PRECINCT 28",784,12,115,550,52.3355,110352.38,.64795917,.85331631,.5140306,.119898,.7321429,.0140306,0,545,175,720,130,592,0,0,1,723
"BUFFALO","PRECINCT 29",1156,16,119,533,54.5636,105923.21,.61418682,.80449826,.4775087,.1193772,.6937716,.0346021,0,667,290,957,217,729,7,1,3,957
"BUFFALO","PRECINCT 3",1357,26,375,757,55.0693,103452.4,.63301402,.81429625,.5386883,.1915991,.6285925,.0331614,0,749,471,1220,402,809,7,0,7,1225
"BUFFALO","PRECINCT 5",1389,27,215,518,51.5904,88013.105,.54859608,.78041756,.5197984,.1929446,.599712,.0345572,.0007199,763,446,1209,367,837,14,4,6,1228
"BUFFALO","PRECINCT 8",1195,13,190,356,47.0636,85041.395,.53472805,.71799165,.4811715,.2217573,.5347281,.0527197,.0033473,479,463,942,369,576,9,3,6,963
"BUFFALO","PRECINCT 9",1163,34,294,538,50.264,65306.395,.49011177,.71969044,.5081685,.2080825,.5494411,.0567498,0,517,420,937,306,635,6,3,3,953
"BURT","ARIZONA-RIVERSIDE",262,2,64,168,54.7443,96918.901,.6145038,.8206107,.480916,.2251908,.6221374,.0114504,0,148,83,231,57,182,2,0,0,241
"BURT","BELL-OAK-PERSH",355,5,50,245,53.8169,104231.5,.60000002,.78028166,.4647887,.1042254,.6957747,.0056338,0,211,58,269,37,232,0,3,0,272
"BURT","CRAIG",297,7,58,174,53.2256,78039.448,.56228954,.73063976,.4713805,.1616162,.6262626,.020202,0,153,101,254,58,193,5,1,0,257
"BURT","DECATUR-QUINN",451,7,128,207,59.51,70890.791,.5321508,.68957871,.5210643,.3281597,.4634146,.0133038,0,169,163,332,115,224,2,1,1,343
"BURT","EVERETT-LOGAN",257,0,41,161,53.7626,105187.28,.59922177,.71595329,.4708171,.1789883,.6342412,.0194553,0,151,57,208,38,176,0,0,0,214
"BURT","LYONS CITY",536,7,134,292,57.6063,66597.17,.61567163,.73507464,.5074627,.2406716,.5447761,.0410448,.0037313,253,153,406,106,302,2,0,2,412
"BURT","OAKLAND I",409,11,94,255,55.8337,74234.364,.69193155,.78728604,.4889975,.1711491,.6259169,.0146699,.002445,215,132,347,92,249,2,2,2,347
"BURT","OAKLAND II",397,10,81,239,53.7053,82406.209,.64987403,.74559194,.5062972,.1536524,.6624685,.0100756,.0050378,204,121,325,92,233,1,1,2,329
"BURT","SILVERCREEK-SUMMIT",381,9,87,240,53.3937,95417.041,.61942255,.81627297,.4908136,.1811024,.6535433,.0026247,0,201,114,315,82,238,0,1,0,321
"BURT","TEKAMAH I",520,11,172,300,54.7769,82118.735,.63653845,.77499998,.5096154,.2346154,.5557692,.0134615,0,249,200,449,146,304,3,0,0,453
"BURT","TEKAMAH II",544,19,154,299,58.14,67620.288,.62132353,.7665441,.5128676,.2555147,.5606618,.0220588,0,224,221,445,159,285,2,4,2,452
"BUTLER","FIRST WARD",520,12,80,293,51.6327,71401.964,.6076923,.72692305,.5019231,.1596154,.6519231,.05,.0019231,291,134,425,98,328,3,4,0,433
"BUTLER","FRANKLIN-BONE CREEK",378,3,40,282,53.0584,78267.685,.6111111,.79365081,.478836,.1428571,.7513227,.0291005,0,250,76,326,50,275,1,1,0,327
"BUTLER","LINWOOD-SKULL CREEK-PLATTE",427,4,70,296,56.0632,63860.114,.68149883,.82669789,.4613583,.1990632,.6416862,.0046838,0,265,101,366,64,311,2,0,1,378
"BUTLER","OAK CREEK-CENTER",499,8,96,321,54.2585,88893.624,.68737477,.80761522,.4809619,.2284569,.6332665,.0360721,0,304,146,450,113,332,2,0,0,447
"BUTLER","PLUM CREEK-RICHARDSON",613,7,77,288,52.9543,84013.501,.67699838,.81402934,.4861338,.2349103,.6443719,.0065253,0,351,170,521,118,409,3,0,0,530
"BUTLER","SECOND WARD",552,9,95,353,52.6902,79515.453,.61775362,.72644925,.5271739,.1721015,.6630435,.0525362,0,312,139,451,102,357,5,1,0,465
"BUTLER","SUMMIT-READING",577,4,78,313,53.4575,83818.369,.65684575,.80935878,.4800693,.1473137,.7001733,.0103986,0,367,133,500,93,415,2,3,1,514
"BUTLER","THIRD WARD",590,9,130,387,52.3864,78302.411,.70508474,.77288133,.5169492,.1728813,.6694915,.0305085,0,367,143,510,112,402,2,0,1,517
"BUTLER","UNION-OLIVE",303,8,38,238,54.4554,85764.275,.73927391,.8547855,.4785478,.1023102,.7491749,.0033003,0,216,56,272,33,238,1,0,0,272
"CASS","1ST WARD - 1ST",489,15,142,236,50.6626,86770.378,.55214721,.7157464,.4887525,.2413088,.4887525,.0368098,0,193,198,391,161,231,6,1,2,401
"CASS","1ST WARD - 2ND",426,10,124,234,55.162,77673.378,.49295774,.69718307,.5070422,.2159624,.415493,.0258216,0,177,151,328,116,214,1,1,4,336
"CASS","2ND WARD - 1ST",456,22,128,254,51.8706,79319.809,.50438595,.74342108,.4912281,.1995614,.4912281,.0263158,0,187,190,377,137,234,4,3,2,380
"CASS","2ND WARD - 2ND",405,16,130,228,52.0198,75304.446,.53580248,.73827159,.5111111,.2345679,.4641975,.037037,0,187,153,340,120,224,3,2,0,349
"CASS","3RD WARD - 1ST",469,16,121,263,48.3889,74716.58,.4946695,.73560768,.5010661,.1748401,.5031983,.0063966,0,191,168,359,106,261,4,2,1,374
"CASS","3RD WARD - 2ND",429,10,122,217,52.6121,67458.57,.47552449,.67365968,.5454546,.1888112,.4615385,.018648,0,163,163,326,111,216,2,1,2,332
"CASS","4TH WARD - 1ST",327,8,102,182,47.737,78366.232,.49847096,.69724768,.4831804,.1957187,.4648318,.0244648,.0091743,130,125,255,78,171,3,4,0,256
"CASS","4TH WARD - 2ND",449,12,134,239,51.5835,77933.305,.54342985,.75723833,.4944321,.2048998,.5278397,.0178174,0,216,170,386,114,265,1,1,1,382
"CASS","AVOCA",350,13,71,209,53.4771,85170.301,.52571428,.73428571,.48,.22,.5228571,.0057143,0,175,104,279,62,216,3,2,2,285
"CASS","BUCCANEER BAY",1017,32,369,532,55.2203,115168.37,.68829894,.82694197,.4995084,.2369715,.4788594,.0235988,0,491,451,942,384,549,10,3,4,950
"CASS","CENTER",379,10,104,236,54.1557,106520.27,.67546177,.81794196,.4802111,.2163588,.5567282,.005277,0,197,124,321,93,233,1,1,0,328
"CASS","EAST LOUISVILLE",662,16,184,349,48.6012,99152.407,.57854986,.75528699,.5015106,.1858006,.4939577,.0166163,0,299,274,573,195,375,4,3,0,577
"CASS","EIGHT MILE GROVE",806,11,194,504,54.0955,125206.84,.66873449,.83126551,.4801489,.1898263,.5868486,.0148883,0,462,257,719,196,519,3,0,1,719
"CASS","LIBERTY",398,10,118,241,55.1285,90287.598,.69095474,.83919597,.4723618,.218593,.5201005,.0175879,0,201,157,358,112,244,0,3,4,363
"CASS","MCKELVERLY",331,6,65,202,50.8671,106999.28,.62235647,.7854985,.4773414,.2114804,.5498489,.0060423,0,180,107,287,77,211,3,0,1,292
"CASS","MOUNT PLEASANT",161,2,35,111,55.6149,105549.72,.72049689,.83229816,.4968944,.1614907,.5900621,.0062112,0,97,38,135,32,106,1,0,1,140
"CASS","MURDOCK",499,12,148,263,52.3928,102489.36,.74148297,.82164329,.498998,.2144289,.5831664,.006012,0,260,167,427,144,285,3,0,0,432
"CASS","NEHAWKA",240,4,51,148,52.9167,85201.215,.65416664,.78750002,.5041667,.1958333,.5416667,0,0,122,81,203,40,165,0,1,0,206
"CASS","NORTH PLATTSMOUTH",683,17,141,420,54.672,115239.73,.67349929,.83308929,.4978038,.193265,.6281113,.0219619,.0014641,384,214,598,162,434,5,1,1,603
"CASS","NORTH ROCK BLUFF",806,12,216,445,53.0521,106959.67,.6414392,.77791566,.483871,.1799008,.5880893,.0049628,0,434,263,697,221,481,9,1,0,712
"CASS","SALT CREEK",702,23,153,352,52.1866,93003.391,.57692307,.76353276,.4814815,.2179487,.4957265,.0213675,0,334,242,576,164,401,10,1,1,577
"CASS","SOUTH BEND",739,9,203,437,56.4668,123361.33,.68064952,.84979701,.4871448,.173207,.6224628,.0135318,0,415,246,661,209,453,3,1,1,667
"CASS","SOUTH PLATTSMOUTH",1000,16,234,608,53.733,119801.57,.68800002,.80500001,.498,.161,.593,.018,0,563,300,863,239,630,8,2,2,881
"CASS","SOUTH ROCK BLUFF",1284,17,333,794,53.141,111802.87,.6627726,.78971964,.5031152,.1674455,.576324,.0233645,0,748,433,1181,331,852,7,5,3,1198
"CASS","STOVE CREEK",700,19,188,409,51.2657,88940.667,.73000002,.79285717,.4942857,.2185714,.5485714,.0171429,0,365,238,603,187,418,5,3,0,613
"CASS","TIPTON",1462,31,401,848,49.9973,105535.95,.59439123,.77496582,.502736,.2038304,.5266758,.0205198,0,745,539,1284,387,885,13,8,6,1299
"CASS","WEST LOUISVILLE",751,16,192,454,53.0453,108377.69,.63648468,.80958724,.4980026,.1797603,.5992011,.0133156,0,398,272,670,197,480,5,5,3,690
"CASS","WEST ROCK BLUFF",463,10,113,278,53.1641,92336.706,.68250543,.80561554,.4730022,.1663067,.6198704,.0215983,0,248,145,393,111,288,4,2,1,406
"CEDAR","PRECICNT 10 (17-18)",157,1,12,142,53.5669,81037.5,.74522293,.85350317,.4458599,.1273885,.7197452,.0063694,0,127,21,148,12,133,2,0,0,147
"CEDAR","PRECICNT 13 (21)",698,27,101,529,54.4476,84092.904,.70630372,.81948423,.5358166,.0974212,.7292264,.0243553,0,469,152,621,97,502,8,7,3,617
"CEDAR","PRECICNT 3 (4)",224,5,25,179,54.7813,88360.828,.72321427,.83035713,.4910714,.2410714,.6116071,0,0,156,42,198,24,177,1,1,0,203
"CEDAR","PRECICNT 4 (5-6-7)",465,1,50,386,53.2043,84576.912,.69677418,.82795697,.4817204,.2473118,.6408602,.0107527,.0021505,305,117,422,63,361,4,1,1,430
"CEDAR","PRECICNT 7 (9A)",110,2,15,86,53.5909,75892.084,.66363639,.84545457,.5090909,.2727273,.5727273,.0090909,0,76,25,101,18,84,0,1,0,103
"CEDAR","PRECINCT 1 (1)",227,4,33,157,54.5683,78707.191,.64757711,.78414094,.4933921,.2290749,.5903084,.0088106,0,141,53,194,40,150,3,0,1,194
"CEDAR","PRECINCT 11 (19)",620,10,85,473,56.4,75061.543,.716129,.81451613,.516129,.1193548,.7064516,.0112903,0,426,144,570,84,491,4,0,1,580
"CEDAR","PRECINCT 12 (20)",154,4,29,97,55.9481,72105.279,.72727275,.83116883,.487013,.1233766,.7597402,0,0,108,39,147,27,119,1,1,0,148
"CEDAR","PRECINCT 2 (2-3)",471,9,67,360,55.1911,85927.953,.7324841,.85562634,.4968153,.1995754,.6624204,.0084926,0,345,88,433,52,382,2,0,1,437
"CEDAR","PRECINCT 5 (13-14)",170,0,34,136,55.2059,108101.47,.74117649,.86470586,.4764706,.1705882,.7470588,0,0,110,46,156,29,128,0,0,1,158
"CEDAR","PRECINCT 8 (10-11-12)",291,5,28,248,52.354,94359.236,.76288658,.83505154,.4501718,.1477663,.7388316,0,0,223,43,266,26,239,4,0,0,269
"CEDAR","PRECINCT 9 (15-16)",498,10,71,396,56.2757,84017.354,.72891569,.83734941,.4959839,.1124498,.7409639,.0060241,0,329,120,449,63,380,6,1,1,451
"CHASE","CHAMPION/LAMAR",305,2,25,264,56.518,91195.439,.6360656,.80983609,.4852459,.0426229,.8459017,.0131148,0,220,44,264,14,252,0,0,0,266
"CHASE","IMPERIAL EAST",386,3,58,284,54.4689,77955.022,.64766842,.72020727,.5466321,.1606218,.6735751,.1139896,0,234,72,306,48,259,2,0,0,309
"CHASE","IMPERIAL RURAL",391,3,29,324,54.8491,93161.346,.67263424,.81585675,.4757033,.0613811,.8491049,.0332481,0,292,43,335,25,312,0,0,2,339
"CHASE","IMPERIAL WEST",682,11,83,518,54.7691,94602.959,.68328446,.78152496,.5454546,.1026393,.7771261,.0381232,0,437,124,561,74,480,7,1,1,563
"CHASE","WAUNETA",423,8,31,349,56.5981,64785.645,.678487,.80851066,.4917258,.0945626,.7872341,.0401891,0,292,76,368,39,333,1,0,0,373
"CHERRY","BARLEY",109,0,1,44,50.156,84503.461,.77064222,.90825689,.4495413,.0275229,.9449542,.0183486,0,96,8,104,3,102,0,0,0,105
"CHERRY","KILGORE",245,3,5,75,56.3184,72864.532,.76734692,.87346941,.477551,.0938776,.8244898,.0040816,0,167,42,209,13,209,0,0,0,222
"CHERRY","LACKEY",88,0,3,57,52.1932,79368.5,.77272725,.88636363,.4886364,.0454545,.875,0,0,70,6,76,1,74,0,1,1,77
"CHERRY","LOUP",248,4,10,131,55.2339,69555.436,.81854838,.89516127,.4596774,.0282258,.9516129,.0040323,0,217,23,240,12,228,0,0,0,240
"CHERRY","VALENTINE EAST",838,13,97,562,56.1516,66555.844,.74224341,.79594272,.5143198,.0942721,.7804296,.0107399,.0011933,558,175,733,99,649,6,3,2,759
"CHERRY","VALENTINE NORTH",849,11,135,631,54.7267,81504.637,.77267373,.82214367,.4958775,.1177856,.770318,.0070671,0,540,207,747,129,628,14,0,1,772
"CHERRY","VALENTINE SOUTH",585,9,59,385,53.8462,73551.448,.71111113,.80341882,.5042735,.0803419,.7880342,.0136752,0,388,111,499,56,448,1,1,2,508
"CHEYENNE","GURLEY",335,7,31,265,56.4388,85194.901,.64776117,.79104477,.4716418,.0835821,.7731344,.0179104,0,219,48,267,24,246,2,0,0,272
"CHEYENNE","LODGEPOLE",467,3,65,339,57.8223,67969.341,.56959313,.78158456,.4732334,.1092077,.7152034,.012848,0,278,93,371,57,318,1,0,0,376
"CHEYENNE","POTTER",401,5,27,312,55.783,75687.636,.63341647,.75062346,.4912718,.084788,.7755611,.0199501,0,257,72,329,31,304,1,1,0,337
"CHEYENNE","SIDNEY 1",674,14,127,399,54.2938,79145.757,.57715136,.69881308,.5014837,.1424332,.6454006,.0459941,0,347,179,526,114,411,3,3,3,534
"CHEYENNE","SIDNEY 2",879,21,115,577,52.2526,67654.282,.54493743,.66097838,.4994312,.105802,.6507395,.0557452,0,442,199,641,101,543,11,2,3,660
"CHEYENNE","SIDNEY 3",684,14,127,428,54.3582,88094.407,.5409357,.6871345,.502924,.1608187,.6081871,.0584795,0,339,215,554,142,407,3,1,3,556
"CHEYENNE","SIDNEY 4",703,10,121,462,54.4495,87864.835,.61593175,.70554763,.4822191,.1422475,.6671408,.0256046,0,422,152,574,112,467,1,3,0,583
"CHEYENNE","SIDNEY 5",1142,19,195,790,53.4116,96778.839,.5507881,.73555166,.4921191,.1120841,.6646234,.0525394,0,634,269,903,170,740,3,2,1,916
"CHEYENNE","UNION VALLEY",309,4,47,239,54.2201,79295.481,.64077669,.75728154,.5210356,.0938511,.7152104,.0226537,0,210,37,247,27,219,1,0,2,249
"CLAY","CLAY CENTER CITY",444,18,80,319,53.5698,72233.227,.74774772,.83558559,.4932432,.1351351,.7477477,.027027,.0022523,288,131,419,81,336,2,1,1,421
"CLAY","EDGAR CONS.",388,7,80,288,55.134,72092.522,.71391755,.82731956,.5,.1443299,.6984536,.007732,0,244,99,343,59,273,4,4,3,343
"CLAY","FAIRFIELD 1ST",224,9,38,156,53.2991,60469.595,.72321427,.8348214,.5267857,.1339286,.6875,.0133929,0,131,66,197,33,162,0,1,1,197
"CLAY","GLENVIL",227,0,33,188,53.6476,82003.481,.67400879,.82819384,.4713656,.123348,.7136564,.0352423,0,140,52,192,31,160,1,1,0,193
"CLAY","HARVARD CONS.",502,17,112,362,55.7888,62771.888,.61553782,.78486055,.5079681,.1812749,.6035857,.0956175,0,243,160,403,104,292,11,2,2,411
"CLAY","INLAND LEICESTER",282,3,47,185,51.9965,82052.709,.64893615,.82624114,.4432624,.1382979,.6879433,.0106383,0,166,67,233,51,185,2,1,0,239
"CLAY","SPRING RANCH FF 2ND",234,4,21,193,55.2821,93568.808,.8162393,.86752135,.448718,.1452992,.7478632,0,.0042735,175,27,202,21,186,1,0,2,210
"CLAY","SUTTON 1ST",481,4,77,362,56.9231,76945.852,.73804575,.85239083,.4989605,.1455301,.7588357,.024948,0,324,84,408,62,352,1,1,2,418
