name,party,state,incumbent_challenge_full,raised,spent
"GREGORY, JAMES CHRISTOPHER",DEM,AR,Open seat,$0 ,$0 
"PERCEFULL, JANIS KENT",IND,AR,Open seat,$0 ,$0 
"HAYS, PATRICK HENRY",DEM,AR,Open seat,$0 ,$0 
"SKOCH, BERNARD KURT 'BERNIE'",REP,AR,Open seat,$0 ,$0 
"FALEOMAVAEGA, ENI",DEM,AS,Challenger,$0 ,$102.89 
"JAMIAS, MAPU S.",DEM,AS,Challenger,"$11,803.00 ","$8,243.00 "
"TULAFONO, TOGIOLA",UNK,AS,Challenger,$0 ,$0 
"AMATA, AUMUA",REP,AS,Incumbent,"$78,278.30 ","$75,562.51 "
"TOBIN, ANDY HON.",REP,AZ,Challenger,$187.19 ,"$8,352.74 "
"PARKER, VERNON",REP,AZ,Challenger,$0 ,"$2,886.59 "
"CONTRERAS, JANET L",REP,AZ,Challenger,$0 ,$0 
"WARD, JIM",REP,AZ,Challenger,"$6,580.00 ","$6,851.44 "
"MCCLUNG, RUTH CRAWFORD",REP,AZ,Challenger,$11.93 ,"$21,398.10 "
"BALDENEGRO, WENONA RAE BENALLY",DEM,AZ,Challenger,"$2,669.95 ",$0 
"PASTOR, ED L",DEM,AZ,Challenger,$0 ,"$1,038,830.73 "
"GOULD, RON",REP,AZ,Challenger,$0 ,$0 
"WEISSER, MIKEL",DEM,AZ,Challenger,"$36,043.62 ","$35,258.96 "
"WILLIAMSON, WALTER JOHN",DEM,AZ,Challenger,"$6,470.77 ","$6,623.91 "
"BARBER, RONALD",DEM,AZ,Challenger,"$3,736.57 ","$508,688.74 "
"SCHAPIRA, DAVID",DEM,AZ,Challenger,$0 ,$0 
"KWASMAN, ADAM CHARLES",REP,AZ,Challenger,"$58,316.32 ","$58,582.12 "
"KAIS, SHELLEY M",REP,AZ,Challenger,$37.53 ,$75.70 
"WOOTEN, CHARLES A",REP,AZ,Challenger,$222.85 ,$222.85 
"WOODS, JAMES ISSAC",DEM,AZ,Challenger,$0 ,$245.00 
"WALTER, ANDREW",REP,AZ,Challenger,$0.45 ,"$1,500.00 "
"STEELE, VICTORIA L",DEM,AZ,Challenger,"$246,846.83 ","$226,509.24 "
"HEINZ, MATTHEW GERALD DR.",DEM,AZ,Challenger,"$1,585,093.47 ","$1,585,089.25 "
"STUMP, BOB",REP,AZ,Challenger,$0 ,$0 
"VILLARREAL, JAMES",DEM,AZ,Challenger,"$10,633.02 ","$10,633.02 "
"STRAUSS, RAYMOND JOHN",REP,AZ,Challenger,"$111,269.03 ","$111,269.03 "
"NUNEZ, EVANGELINE MARTINEZ",REP,AZ,Challenger,"$33,620.36 ","$32,120.36 "
"ARMSTRONG-STONER, DEREK JAMES",DEM,AZ,Challenger,"$16,350.98 ","$16,350.98 "
"GILES, DAVID VICTOR",REP,AZ,Challenger,"$273,769.71 ","$273,722.04 "
"AGRA, JOHN",REP,AZ,Challenger,"$108,766.00 ","$116,971.51 "
"WILSON, PETER B",GRE,AZ,Challenger,$0 ,$0 
"GUERRA, BLANCA A",LIB,AZ,Challenger,$0 ,$0 
"HANSEN, ADAM",REP,AZ,Challenger,$0 ,$0 
"MCKEE, DOUGLAS CRAIG",REP,AZ,Challenger,$0 ,$0 
"STANLEY, DAN",REP,AZ,Challenger,$0 ,$0 
"COLLINS, MICHAEL FRANCIS III",DEM,AZ,Challenger,$0 ,$0 
"BOROWSKY, LISA",REP,AZ,Challenger,$0 ,$0 
"GRESSLEY, FORREST DAYL",REP,AZ,Challenger,$0 ,$0 
"SMITH, SUSAN BITTER",REP,AZ,Challenger,$0 ,$0 
"BROWN, JIM",REP,AZ,Challenger,$0 ,$0 
"KELSEY, EASTON CLINT",REP,AZ,Challenger,$0 ,$0 
"HILL, BRIAN",IND,AZ,Challenger,$0 ,$0 
"TIDBALL, DEREK WILLIAM",IND,AZ,Challenger,$0 ,$0 
"QUAYLE, BEN",REP,AZ,Challenger,$0 ,$0 
"PROWELL, ANTHONY GENE",GRE,AZ,Challenger,$0 ,$0 
"CRUM, WILLIAM STEPHEN",GRE,AZ,Challenger,$0 ,$0 
"KELLY, JESSE",REP,AZ,Challenger,$0 ,$0 
"MEHTA, STEVE",REP,AZ,Challenger,$0 ,$0 
"FLAKE, JEFF MR.",REP,AZ,Challenger,$0 ,$0 
"BERGREN, SCOTT",REP,AZ,Challenger,$0 ,$0 
"SCHNEIDER, REBECCA",DEM,AZ,Challenger,$0 ,$0 
"SALVINO, CHRIS",REP,AZ,Challenger,$0 ,$0 
"KENNEDY, DAMIEN RICHARD",REP,AZ,Challenger,$0 ,$0 
"HILL, JONATHON RYAN",REP,AZ,Challenger,$0 ,$0 
"JENNA, RUSSELL WALKER III",REP,AZ,Challenger,$0 ,$0 
"ALEGRIA, SAMUEL YOUNG JR",DEM,AZ,Challenger,$0 ,$0 
"ROBINSON, JOHNNIE ELBERT",DEM,AZ,Challenger,$0 ,$0 
"HERNAN, MICHAEL",REP,AZ,Challenger,$0 ,$0 
"MORGAN, SPENCER COLLINS",DEM,AZ,Challenger,$0 ,$0 
"GOSAR, PAUL DR.",REP,AZ,Incumbent,"$707,653.40 ","$712,872.46 "
"GRIJALVA, RAUL M",DEM,AZ,Incumbent,"$664,591.65 ","$642,529.38 "
"MCSALLY, MARTHA E. MS.",REP,AZ,Incumbent,"$7,878,156.18 ","$8,004,418.35 "
"SINEMA, KYRSTEN",DEM,AZ,Incumbent,"$4,402,181.31 ","$2,441,662.77 "
"SALMON, MATT",REP,AZ,Incumbent,"$408,619.07 ","$461,428.04 "
"FRANKS, TRENT",REP,AZ,Incumbent,"$362,299.08 ","$360,898.55 "
"SCHWEIKERT, DAVID",REP,AZ,Incumbent,"$797,747.29 ","$806,820.62 "
"GALLEGO, RUBEN",DEM,AZ,Incumbent,"$1,093,477.40 ","$734,379.24 "
"KIRKPATRICK, ANN",DEM,AZ,Incumbent,"$423,178.90 ","$510,798.08 "
"PENALOSA, JOSE LUIS JR",IND,AZ,Open seat,"$8,000.00 ","$8,000.00 "
"BABEU, PAUL RAYMOND",REP,AZ,Open seat,"$1,294,238.74 ","$1,293,719.68 "
"ADAMS, KIRK DAVID",REP,AZ,Open seat,$0.82 ,$0 
"GRANTHAM, TRAVIS W.",REP,AZ,Open seat,$0 ,$375.00 
"ROGERS, WENDY",REP,AZ,Open seat,"$498,297.01 ","$547,273.31 "
"KIEHNE, GARY",REP,AZ,Open seat,"$1,125,977.68 ","$1,126,166.01 "
"GALLARDO, STEVE M",DEM,AZ,Open seat,"$11,875.40 ","$11,845.75 "
"WILCOX, MARY ROSE",DEM,AZ,Open seat,"$1,500.00 ","$3,586.14 "
"BENNETT, KEN",REP,AZ,Open seat,"$463,873.44 ","$463,077.00 "
"O'HALLERAN, TOM",DEM,AZ,Open seat,"$1,605,996.95 ","$1,588,705.07 "
"REDD, SHAWN MR.",REP,AZ,Open seat,"$38,049.00 ","$36,953.00 "
"GOWAN , DAVID MATTHEW SR",REP,AZ,Open seat,"$407,463.03 ","$394,294.84 "
"MALONEY, JAMES",DEM,AZ,Open seat,"$94,477.47 ","$89,086.16 "
"MALNES, BRIAN EDWARD",IND,AZ,Open seat,"$30,000.00 ","$30,000.00 "
"BEGAY, CARLYLE WILMER",REP,AZ,Open seat,"$92,351.09 ","$92,351.09 "
"BIGGS, ANDY",REP,AZ,Open seat,"$995,666.43 ","$947,069.35 "
"OLSON, JUSTIN",REP,AZ,Open seat,"$153,355.81 ","$152,652.58 "
"MARTYN, BRYAN",REP,AZ,Open seat,"$4,965.00 ","$4,965.00 "
"STAPLEY, DONALD T",REP,AZ,Open seat,"$512,692.28 ","$512,692.28 "
"JONES, CHRISTINE",REP,AZ,Open seat,"$3,774,123.42 ","$3,771,348.77 "
"FUENTES, TALIA",DEM,AZ,Open seat,"$18,657.82 ","$18,649.88 "
"KORN, PRESTON",REP,AZ,Open seat,$0 ,$0 
"KONST, NOMIKI",DEM,AZ,Open seat,$0 ,$0 
"SCOTT, BRIAN ALAN",IND,AZ,Open seat,$0 ,$0 
"BROWN, JEFFREY G",DEM,AZ,Open seat,$0 ,$0 
"MAUPIN JR, JARRETT BARTON",REP,AZ,Open seat,$0 ,$0 
"BAKER, SCOTT",REP,AZ,Open seat,$0 ,$0 
"PORTANTINO, ANTHONY",DEM,CA,Challenger,"$288,494.78 ","$401,500.00 "
"DENNIS, JOHN",REP,CA,Challenger,"$2,581.40 ","$15,462.90 "
"GOEHRING, BRAD",REP,CA,Challenger,$0 ,$0 
"AMADOR, ANTONIO C",REP,CA,Challenger,"$65,366.84 ","$67,038.68 "
"EMKEN, ELIZABETH",REP,CA,Challenger,"$5,901.45 ","$5,901.45 "
"JELINCIC, JUSTIN",DEM,CA,Challenger,$0 ,$369.30 
"BARKLEY, MICHAEL JAMES",DEM,CA,Challenger,"$45,981.77 ","$45,887.12 "
"PINKERTON, JOHN RAYMOND III",DEM,CA,Challenger,"$6,954.18 ","$6,486.02 "
"MITZELFELT, BRAD",REP,CA,Challenger,$176.00 ,$304.00 
"CORBETT, ELLEN",DEM,CA,Challenger,$0 ,"$1,696.01 "
"TACHERRA, JOHNNY",REP,CA,Challenger,"$547,428.08 ","$548,941.25 "
"LEE, OTTO",DEM,CA,Challenger,$0 ,"$4,703.00 "
"MALDONADO, ABEL",REP,CA,Challenger,$0 ,"$2,720.25 "
"MITCHUM, CHRISTOPHER",REP,CA,Challenger,"$304,564.29 ","$310,515.11 "
"WYMAN, PHILLIP D",REP,CA,Challenger,$0 ,$0 
"MCKEON, HOWARD P ""BUCK""",REP,CA,Challenger,"$1,360.81 ","$130,335.77 "
"BERMAN, HOWARD L",DEM,CA,Challenger,$0 ,$0 
"ORSWELL, JACK",REP,CA,Challenger,"$201,166.01 ","$208,248.35 "
"HERNANDEZ, DAVID RAYMOND",REP,CA,Challenger,$0 ,$0 
"CAMPOS, BENJAMIN",REP,CA,Challenger,$0 ,$0 
"FLORES, BOB",DEM,CA,Challenger,"$5,397.72 ","$6,372.12 "
"CULLUM, JOHN J",REP,CA,Challenger,$0 ,$86.38 
"DELONG, GARY",REP,CA,Challenger,$0 ,"$7,812.36 "
"VARASTEH, RON",DEM,CA,Challenger,"$40,303.49 ","$117,761.42 "
"HALL, HEIDI",DEM,CA,Challenger,"$1,065.80 ","$3,911.81 "
"LEVINE, DAN",DEM,CA,Challenger,$783.87 ,$793.87 
"MENSING, DALE KENNETH",REP,CA,Challenger,"$4,587.00 ","$4,228.00 "
"LOGUE, DANIEL",REP,CA,Challenger,"$11,761.38 ","$23,855.60 "
"MOORE, ARTHUR S",REP,CA,Challenger,$0 ,"$35,308.16 "
"BIRMAN, IGOR A",REP,CA,Challenger,"$27,857.99 ","$35,313.54 "
"HANNOSH, PAUL",REP,CA,Challenger,$0 ,"$1,545.81 "
"CONOVER, RODNEY LEE",REP,CA,Challenger,$73.05 ,"$3,387.28 "
"COLANGELO, STEVE ANTHONY",REP,CA,Challenger,"$1,210.00 ","$1,208.85 "
"EGGMAN, MICHAEL RAY",DEM,CA,Challenger,"$1,639,589.92 ","$1,586,983.34 "
"KHANNA, ROHIT",DEM,CA,Challenger,"$3,732,538.09 ","$3,679,115.60 "
"HERMANSON, BARRY",GRE,CA,Challenger,"$8,958.83 ","$8,958.83 "
"STEGER, MICHAEL G",DEM,CA,Challenger,$450.00 ,$470.00 
"BUSSELL, HUGH",REP,CA,Challenger,$500.00 ,"$1,390.04 "
"BOTELHO, JOANNA LYNN GARCIA",REP,CA,Challenger,"$20,250.00 ","$21,458.06 "
"SINGH, VANILA M",REP,CA,Challenger,"$14,668.00 ","$17,644.08 "
"FOX, RICHARD B",REP,CA,Challenger,"$26,480.93 ","$26,381.26 "
"RENTERIA, AMANDA",DEM,CA,Challenger,"$24,711.70 ","$37,681.21 "
"MARRERO, SUZANNA AUGILERA",DEM,CA,Challenger,$318.00 ,$345.95 
"GARCIA, RAUL",DEM,CA,Challenger,$275.00 ,$688.66 
"FRANCISCO, DALE",REP,CA,Challenger,"$7,544.06 ","$8,057.70 "
"ALLEN, BRAD DR",REP,CA,Challenger,$0 ,$62.39 
"THOMAS, EVAN CHARLES",DEM,CA,Challenger,"$10,607.10 ","$13,653.90 "
"DAGNESSES, RAFAEL",REP,CA,Challenger,"$431,583.71 ","$431,832.35 "
"GORELL, JEFF",REP,CA,Challenger,"$3,219.38 ","$62,026.54 "
"GAMBLE, VENICE JAYMES II",DEM,CA,Challenger,$0 ,$0 
"KLEINMAN, PABLO",REP,CA,Challenger,$7.00 ,"$3,681.68 "
"RAB, AEJAZ (RAJI)",DEM,CA,Challenger,"$143,051.00 ","$139,257.71 "
"CHABOT, PAUL R DR.",REP,CA,Challenger,"$698,718.69 ","$697,268.25 "
"NESTANDE, BRIAN",REP,CA,Challenger,"$1,765.58 ","$9,532.16 "
"ADAMS, STEVE",REP,CA,Challenger,$208.15 ,"$21,353.72 "
"FRANCO, VERONICA",DEM,CA,Challenger,"$4,068.49 ","$6,150.03 "
"CONDLEY, KERRI",NNE,CA,Challenger,"$87,268.86 ","$87,420.73 "
"SHERIDAN, TIMOTHY J",DEM,CA,Challenger,"$162,960.71 ","$159,128.08 "
"WOOD, JOHN JR",REP,CA,Challenger,$0 ,$0 
"RATHS, GREGORY G",REP,CA,Challenger,"$238,505.07 ","$193,146.66 "
"VAZQUEZ, CARLOS ALBERTO",REP,CA,Challenger,$0 ,$0 
"NICK, ADAM",REP,CA,Challenger,"$17,650.23 ","$21,520.05 "
"WHALLON, ANDREW",REP,CA,Challenger,"$70,741.33 ","$68,687.81 "
"SAVARY, SUZANNE JOYCE",DEM,CA,Challenger,"$32,983.10 ","$33,970.11 "
"PEISER, DAVE",DEM,CA,Challenger,$749.22 ,"$6,572.17 "
"LEAVENS, DREW EUGENE",DEM,CA,Challenger,"$92,769.86 ","$94,919.86 "
"DEMAIO, CARL",REP,CA,Challenger,"$1,707.45 ","$10,379.55 "
"JORGENSEN, KIRK",REP,CA,Challenger,"$37,887.72 ","$59,625.00 "
"SIMON, FRED J JR MD",REP,CA,Challenger,$517.93 ,$790.44 
"MARCHESE, JOEL ALFRED",REP,CA,Challenger,$0 ,$0 
"WILSKE, LARRY ALBERT",REP,CA,Challenger,$0 ,$669.82 
"WRIGHT, DOUGLAS A.",REP,CA,Challenger,"$27,709.03 ","$27,709.03 "
"MONTES, JOSEPH",REP,CA,Challenger,"$183,682.00 ","$183,682.00 "
"REED, JAMES E",DEM,CA,Challenger,"$138,508.99 ","$134,916.57 "
"SCHRODE, ERIN AZARIA",DEM,CA,Challenger,"$58,283.50 ","$59,079.55 "
"CLEEK, N EUGENE MD",REP,CA,Challenger,"$382,004.01 ","$380,024.03 "
"DETERT, RYAN",REP,CA,Challenger,"$10,325.81 ","$10,325.81 "
"DERLET, ROBERT WAYNE",DEM,CA,Challenger,"$105,527.33 ","$90,885.98 "
"SANTAMARIA, CARLOS J",REP,CA,Challenger,"$2,700.00 ","$2,700.00 "
"PALSSON, NILS",DEM,CA,Challenger,"$10,240.59 ","$10,240.59 "
"EVANS, ROBERT S",REP,CA,Challenger,"$2,905.00 ","$2,805.00 "
"JONES, SCOTT",REP,CA,Challenger,"$1,362,661.26 ","$1,355,340.14 "
"DONNELLY, TIM",REP,CA,Challenger,"$89,883.21 ","$89,883.21 "
"STARK, FORTNEY HILLMAN JR",DEM,CA,Challenger,$590.77 ,"$59,572.78 "
"NANCE, KATHRYN D",REP,CA,Challenger,"$68,709.37 ","$68,609.37 "
"PETERSEN, ROGER",REP,CA,Challenger,"$8,789.50 ","$7,789.50 "
"PICUS, PRESTON",IND,CA,Challenger,"$28,479.57 ","$19,544.26 "
"MILLER, ROBERT",REP,CA,Challenger,"$10,905.38 ","$10,905.38 "
"CARO, SUZANNE M",REP,CA,Challenger,"$4,521.00 ","$4,521.00 "
"CARDENAS, ANGEL",REP,CA,Challenger,"$4,140.06 ","$4,140.06 "
"TURNER, DANNY REID",REP,CA,Challenger,$632.75 ,$632.75 
"ROGERS, DAVID BRYAN",REP,CA,Challenger,"$242,272.54 ","$242,272.54 "
"COHEN, RONALD H",REP,CA,Challenger,"$4,943.00 ","$4,983.00 "
"KUO, PETER",REP,CA,Challenger,"$14,233.76 ","$14,233.76 "
"OLIVERIO, PIERLUIGI",DEM,CA,Challenger,"$3,052.00 ","$3,052.00 "
"LANCASTER, GORDON K CA",REP,CA,Challenger,"$5,500.00 ","$5,500.00 "
"GALLEGLY, ELTON",REP,CA,Challenger,$764.78 ,"$177,539.65 "
"HAZE, ERNEST STEVEN",DEM,CA,Challenger,$0 ,$360.00 
"PARRA, DANIEL",DEM,CA,Challenger,"$75,652.83 ","$75,652.83 "
"PEREZ, CONNIE",DEM,CA,Challenger,"$15,272.95 ","$15,272.95 "
"HUERTA, EMILIO JESUS MR.",DEM,CA,Challenger,"$774,232.31 ","$655,395.26 "
"REED, WENDY",DEM,CA,Challenger,"$40,357.40 ","$40,357.40 "
"MORRIS, GERALD A",REP,CA,Challenger,$0 ,$0 
"METTLER, KEN",REP,CA,Challenger,"$43,818.89 ","$43,818.89 "
"WAXMAN, HENRY A",DEM,CA,Challenger,"$2,601.11 ","$236,889.25 "
"MARTINEZ, JILL MARIE",DEM,CA,Challenger,$0 ,$0 
"TENENBAUM, MICHAEL",REP,CA,Challenger,$0 ,"$1,537.88 "
"VINCE, LOU",DEM,CA,Challenger,"$93,719.65 ","$93,719.65 "
"GUTZEIT, MARIA",DEM,CA,Challenger,"$72,845.44 ","$72,845.44 "
"CAFORIO, BRYAN",DEM,CA,Challenger,"$1,706,520.29 ","$1,703,542.69 "
"BOMBERGER, JEFFREY",IND,CA,Challenger,$0 ,$0 
"BARAJAS, RAMON MISTER III",REP,CA,Challenger,$0 ,$0 
"BERNAL, BENITO BENNY",DEM,CA,Challenger,"$15,502.00 ","$15,499.00 "
"SHAMMAS, JOSEPH IVARO",DEM,CA,Challenger,"$43,498.27 ","$43,498.27 "
"ALARCON, RICHARD ANTHONY MR.",DEM,CA,Challenger,"$70,834.33 ","$70,834.33 "
"GUZMAN, DAVID",DEM,CA,Challenger,"$8,303.25 ","$8,303.25 "
"PATRICK, PATREA",DEM,CA,Challenger,$0 ,$0 
"FLYNN, SEAN MASAKI",REP,CA,Challenger,"$1,000,221.25 ","$963,635.79 "
"BACA, JOE",REP,CA,Challenger,"$34,598.00 ","$34,117.74 "
"HERNANDEZ, ROGER",DEM,CA,Challenger,"$187,642.23 ","$187,039.02 "
"WRIGHT, KENNETH W DR.",REP,CA,Challenger,"$77,202.30 ","$73,968.91 "
"EDWARDS, ADRIENNE NICOLE",DEM,CA,Challenger,$20.00 ,$1.80 
"FISCHELLA, TYLER R",REP,CA,Challenger,"$3,747.65 ","$3,747.65 "
"THOMPSON, KIRK WAYNE",REP,CA,Challenger,$0 ,$0 
"KEALY, DWIGHT",REP,CA,Challenger,"$297,657.28 ","$297,657.28 "
"STONE, JEFFREY E",REP,CA,Challenger,"$362,037.43 ","$362,037.43 "
"HASAN, SHARIFF M",REP,CA,Challenger,"$2,250.00 ","$2,250.00 "
"ADAMS, SCOTT MICHAEL MR.",IND,CA,Challenger,$0 ,"$6,940.00 "
"MURDOCK, BRETT",DEM,CA,Challenger,"$79,382.92 ","$76,513.51 "
"CONAWAY, ROBERT DEAN",DEM,CA,Challenger,$804.00 ,$798.00 
"SHEPHERD, DOUG",REP,CA,Challenger,"$252,554.04 ","$252,473.09 "
"FOX, RANDY",REP,CA,Challenger,"$67,065.00 ","$67,065.00 "
"GOURON, MAX M.D.",DEM,CA,Challenger,"$46,132.47 ","$46,128.97 "
"SAVARY, SUZANNE JOYCE",DEM,CA,Challenger,"$110,054.08 ","$102,343.67 "
"BAUGH, SCOTT",REP,CA,Challenger,"$576,105.00 ","$27,676.82 "
"APPLEGATE, DOUGLAS LOREN",DEM,CA,Challenger,"$2,114,731.96 ","$2,051,589.43 "
"MALLOY, JEFFREY PATRICK",DEM,CA,Challenger,"$27,447.89 ","$23,654.09 "
"HIDALGO, JUAN M JR",REP,CA,Challenger,"$76,403.12 ","$76,403.12 "
"SANCHEZ, CARLOS J MR",REP,CA,Challenger,"$26,124.00 ","$25,658.24 "
"MERCADO, JUAN CARLOS",DEM,CA,Challenger,"$8,100.00 ","$7,344.03 "
"ATKINSON, JACQUIE",REP,CA,Challenger,"$196,307.97 ","$196,307.97 "
"CANADA, MIKE",REP,CA,Challenger,"$17,000.00 ","$17,000.00 "
"GITSHAM, DENISE",REP,CA,Challenger,"$1,451,738.20 ","$1,438,632.75 "
"HORST, JOHN H",REP,CA,Challenger,"$14,502.50 ","$16,155.56 "
"ALLVORD, TERRY",REP,CA,Challenger,"$19,253.77 ","$19,253.77 "
"ASH, JAMES",REP,CA,Challenger,"$35,278.00 ","$35,278.00 "
"VELTMEYER, JAMES",REP,CA,Challenger,"$122,886.07 ","$121,239.19 "
"MENDOZA, MATTHEW JAMES",REP,CA,Challenger,"$1,464.00 ","$1,346.00 "
"OSE, DOUG",REP,CA,Challenger,"$265,476.95 ","$321,609.31 "
"TUMA, DOUGLAS ARTHUR",LIB,CA,Challenger,$0 ,$54.00 
"WALSH, DANA",REP,CA,Challenger,$0 ,$0 
"TAYLOR, JEFF",REP,CA,Challenger,$0 ,$965.00 
"RICHARDSON, LAURA",DEM,CA,Challenger,$0 ,$0 
"COX, CHRISTOPHER HON.",REP,CA,Challenger,$0 ,"$10,842.30 "
"MILLER, GARY G",REP,CA,Challenger,"$5,257.91 ","$273,961.67 "
DR RITA RAMIREZ,DEM,CA,Challenger,"$35,743.12 ","$31,604.31 "
"BORNSTEIN, JULIE",DEM,CA,Challenger,$0 ,$0 
"MULATTIERI, D'MARIE",UNK,CA,Challenger,$0 ,$0 
"MILLER, JOSHUA THOMAS COULSTON",REP,CA,Challenger,$0 ,$0 
"MOLINA, LAURA",DEM,CA,Challenger,$0 ,$0 
"LEONARD, HARRISON",REP,CA,Challenger,$0 ,$0 
"MARSHALL, SANDRA",DEM,CA,Challenger,$0 ,$0 
"GRISOLIA, BILL",DEM,CA,Challenger,$0 ,$0 
"CORE, TIMOTHY JAMES",REP,CA,Challenger,$0 ,$0 
"LEADER, WILLIAM",REP,CA,Challenger,$0 ,$0 
"KING, R ADAM",REP,CA,Challenger,$0 ,$0 
"CILLEY, STEWART JOHN",REP,CA,Challenger,$0 ,$0 
"ROBERTS, BOYD LACHLAN",DEM,CA,Challenger,$0 ,$0 
