County,Sara Innamorato,Joseph E. Rockey,Total
Carnegie Ward 1 Dist 1,89,70,159
Carnegie Ward 1 Dist 2,207,190,398
Carnegie Ward 1 Dist 3,161,164,325
Carnegie Ward 1 Dist 4,68,38,106
Carnegie Ward 2 Dist 1,122,90,212
Carnegie Ward 2 Dist 2,106,77,183
Carnegie Ward 2 Dist 3,93,147,241
Carnegie Ward 2 Dist 4,136,116,252
Casl Shannon Dist 1,183,157,340
Casl Shannon Dist 2,164,159,324
Casl Shannon Dist 3,170,145,315
Casl Shannon Dist 4,127,124,251
Casl Shannon Dist 5,190,143,333
Casl Shannon Dist 6,136,133,271
Casl Shannon Dist 7,144,179,324
Casl Shannon Dist 8,114,132,247
Chalfant Dist 1,112,110,224
Cheswick Dist 1,139,202,341
Cheswick Dist 2,141,222,364
Churchill Dist 1,243,143,387
Churchill Dist 2,214,141,355
Churchill Dist 3,185,155,341
Churchill Dist 4,173,167,341
Clairton Ward 1 Dist 1,51,36,88
Clairton Ward 1 Dist 2,48,62,110
Clairton Ward 1 Dist 3,42,75,117
Clairton Ward 2 Dist 1,19,4,23
Clairton Ward 2 Dist 2,64,6,70
Clairton Ward 2 Dist 3,63,25,88
Clairton Ward 3 Dist 1,76,41,117
Clairton Ward 3 Dist 2,50,33,85
Clairton Ward 3 Dist 3,32,29,62
Clairton Ward 4 Dist 1,27,5,32
Clairton Ward 4 Dist 2,74,19,93
Clairton Ward 4 Dist 3,67,55,123
Collier Dist 1,271,456,727
Collier Dist 2,211,419,631
Collier Dist 3,261,372,633
Collier Dist 4,142,213,356
Collier Dist 5,106,361,467
Collier Dist 6,184,212,396
Coraopolis Ward 1 Dist 1,95,39,134
Coraopolis Ward 1 Dist 2,104,80,184
Coraopolis Ward 2,155,116,271
Coraopolis Ward 3 Dist 1,104,89,193
Coraopolis Ward 3 Dist 2,97,106,203
Coraopolis Ward 4 Dist 1,77,98,177
Coraopolis Ward 4 Dist 2,92,116,209
Crafton Ward 1 Dist 1,191,160,352
Crafton Ward 1 Dist 2,98,103,201
Crafton Ward 2 Dist 1,138,113,252
Crafton Ward 2 Dist 2,142,114,257
Crafton Ward 3 Dist 1,215,154,369
Crafton Ward 3 Dist 2,145,100,245
Crescent Ward 1,185,285,470
Crescent Ward 2,106,165,272
Dormont Dist 1,155,105,260
Dormont Dist 2,171,97,268
Dormont Dist 3,272,98,370
Dormont Dist 4,156,95,252
Dormont Dist 5,297,133,430
Dormont Dist 6,119,84,204
Dormont Dist 7,156,76,232
Dormont Dist 8,128,80,209
Dormont Dist 9,149,78,229
Dormont Dist 10,194,105,299
Dravosburg Dist 1,70,114,184
Dravosburg Dist 2,46,101,147
Dravosburg Dist 3,50,45,95
Duquesne Ward 1 Dist 1,89,58,148
Duquesne Ward 1 Dist 2,76,41,118
Duquesne Ward 1 Dist 3,43,10,53
Duquesne Ward 1 Dist 4,23,7,31
Duquesne Ward 2 Dist 1,62,15,77
Duquesne Ward 2 Dist 2,57,19,76
Duquesne Ward 2 Dist 3,59,38,98
Duquesne Ward 3 Dist 1,33,10,43
Duquesne Ward 3 Dist 2,20,1,21
Duquesne Ward 3 Dist 3,91,41,133
East Deer Ward 1,60,59,119
East Deer Ward 2,99,135,234
E McKeesport Dist 1,74,88,162
E McKeesport Dist 2,89,82,172
E McKeesport Dist 3,81,59,140
E Pittsburgh Ward 1,55,20,75
E Pittsburgh Ward 2,43,27,71
E Pittsburgh Ward 3,60,30,90
Edgewood Dist 1,394,112,506
Edgewood Dist 2,388,122,510
Edgewood Dist 3,369,101,470
Edgeworth Dist 1,139,235,375
Edgeworth Dist 2,168,268,437
Elizabeth Br,114,160,275
Elizabeth Tp Ward 1 Dist 1,86,176,262
Elizabeth Tp Ward 1 Dist 2,130,259,390
Elizabeth Tp Ward 2,181,363,546
Elizabeth Tp Ward 3,198,419,617
Elizabeth Tp Ward 4 Dist 1,135,203,339
Elizabeth Tp Ward 4 Dist 2,58,150,208
Elizabeth Tp Ward 5 Dist 1,47,100,147
Elizabeth Tp Ward 5 Dist 2,106,207,313
Elizabeth Tp Ward 6 Dist 1,72,175,247
Elizabeth Tp Ward 6 Dist 2,87,163,250
Elizabeth Tp Ward 7,181,314,495
Emsworth Dist 1,139,157,298
Emsworth Dist 2,173,173,347
Etna Ward 1,203,135,338
Etna Ward 2,106,92,198
Etna Ward 3,141,147,288
Fawn Dist 1,61,145,206
Fawn Dist 2,113,274,387
Findlay Dist 1,177,401,578
Findlay Dist 2,299,501,801
Findlay Dist 3,184,320,504
Forest Hills Dist 1,238,135,373
Forest Hills Dist 2,92,15,107
Forest Hills Dist 3,186,140,326
Forest Hills Dist 4,209,97,306
Forest Hills Dist 5,219,152,371
Forest Hills Dist 6,223,96,320
Forest Hills Dist 7,170,52,224
Forest Hills Dist 8,210,137,348
Forward Dist 1,26,132,158
Forward Dist 2,102,227,329
Forward Dist 3,57,100,157
Forward Dist 4,65,123,189
Fox Chapel Dist 1,187,289,478
Fox Chapel Dist 2,214,319,534
Fox Chapel Dist 3,155,244,399
Fox Chapel Dist 4,283,349,633
Fox Chapel Dist 5,136,342,478
Franklin Pk Ward 1 Dist 1,199,367,566
Franklin Pk Ward 1 Dist 2,230,392,623
Franklin Pk Ward 1 Dist 3,285,365,650
Franklin Pk Ward 2 Dist 1,268,338,606
Franklin Pk Ward 2 Dist 2,244,396,640
Franklin Pk Ward 2 Dist 3,303,491,794
Franklin Pk Ward 3 Dist 1,225,418,643
Franklin Pk Ward 3 Dist 2,156,247,404
Franklin Pk Ward 3 Dist 3,272,406,678
Frazer,97,225,322
Glassport Dist 1,91,125,217
Glassport Dist 2,44,36,80
Glassport Dist 3,67,66,133
Glassport Dist 4,23,30,53
Glassport Dist 5,83,103,186
Glassport Dist 6,50,85,135
Glenfield,21,45,66
Green Tree Dist 1,172,221,393
Green Tree Dist 2,227,312,539
Green Tree Dist 3,203,251,454
Green Tree Dist 4,157,171,328
Hampton Dist 1,227,385,612
Hampton Dist 2,198,400,598
Hampton Dist 3,223,392,615
Hampton Dist 4,134,161,295
Hampton Dist 5,152,203,356
Hampton Dist 6,116,199,315
Hampton Dist 7,241,493,734
Hampton Dist 8,205,283,488
Hampton Dist 9,238,425,665
Hampton Dist 10,259,449,708
Hampton Dist 11,313,531,844
Hampton Dist 12,210,227,437
Hampton Dist 13,168,224,393
Harmar Dist 1,222,390,612
Harmar Dist 2,96,159,256
Harmar Dist 3,55,108,163
Harrison Ward 1 Dist 1,46,91,138
Harrison Ward 1 Dist 2,110,153,264
Harrison Ward 1 Dist 3,109,168,277
Harrison Ward 2 Dist 1,53,72,125
Harrison Ward 2 Dist 2,73,82,156
Harrison Ward 3 Dist 1,201,312,513
Harrison Ward 3 Dist 2,122,188,310
Harrison Ward 4 Dist 1,103,163,266
Harrison Ward 4 Dist 2,75,122,200
Harrison Ward 5 Dist 1,71,57,129
Harrison Ward 5 Dist 2,73,165,238
Haysville,12,6,18
Heidelberg,159,173,332
Homestead Ward 1 Dist 1,113,34,147
Homestead Ward 1 Dist 2,62,12,74
Homestead Ward 2 Dist 1,71,12,83
Homestead Ward 2 Dist 2,51,11,62
Homestead Ward 3 Dist 1,52,21,73
Homestead Ward 3 Dist 2,58,5,63
Indiana Dist 1,162,271,433
Indiana Dist 2,140,278,418
Indiana Dist 3,211,363,574
Indiana Dist 4,257,341,598
Indiana Dist 5,192,245,441
Ingram Dist 1,188,136,325
Ingram Dist 2,108,107,215
Ingram Dist 3,193,170,364
Jefferson Hl Dist 1,176,309,486
Jefferson Hl Dist 2,108,228,337
Jefferson Hl Dist 3,157,244,401
Jefferson Hl Dist 4,132,202,335
Jefferson Hl Dist 5,148,356,504
Jefferson Hl Dist 6,72,258,332
Jefferson Hl Dist 7,80,201,281
Jefferson Hl Dist 8,152,279,432
Jefferson Hl Dist 9,154,362,516
Kennedy Dist 1,244,502,747
Kennedy Dist 2,118,198,318
Kennedy Dist 3,175,342,518
Kennedy Dist 4,70,136,206
Kennedy Dist 5,239,399,645
Kennedy Dist 6,144,218,364
Kennedy Dist 7,86,175,261
Kilbuck,139,182,321
Leet Dist 1,94,101,195
Leet Dist 2,179,263,442
Leetsdale,164,191,357
Liberty Dist 1,111,229,341
Liberty Dist 2,105,185,291
Lincoln,97,161,258
Marshall Dist 1,142,229,371
Marshall Dist 2,179,382,563
Marshall Dist 3,147,234,383
Marshall Dist 4,234,308,542
Marshall Dist 5,147,168,315
Marshall Dist 6,166,280,446
Marshall Dist 7,195,281,477
McCandless Ward 1 Dist 1,225,378,603
McCandless Ward 1 Dist 2,153,198,351
McCandless Ward 1 Dist 3,199,289,488
McCandless Ward 2 Dist 1,306,338,645
McCandless Ward 2 Dist 2,181,309,490
McCandless Ward 2 Dist 3,185,263,448
McCandless Ward 3 Dist 1,217,283,500
McCandless Ward 3 Dist 2,238,307,546
McCandless Ward 3 Dist 3,224,352,577
McCandless Ward 4 Dist 1,294,437,731
McCandless Ward 4 Dist 2,164,233,397
McCandless Ward 4 Dist 3,124,269,393
McCandless Ward 5 Dist 1,153,278,431
McCandless Ward 5 Dist 2,261,338,600
McCandless Ward 5 Dist 3,266,257,523
McCandless Ward 6 Dist 1,108,141,249
McCandless Ward 6 Dist 2,211,288,501
McCandless Ward 6 Dist 3,373,504,877
McCandless Ward 7 Dist 1,279,400,679
McCandless Ward 7 Dist 2,234,295,530
McCandless Ward 7 Dist 3,137,164,302
McDonald,21,42,63
McKeesport Ward 1,0,0,0
McKeesport Ward 2,23,3,26
McKeesport Ward 3 Dist 1,40,11,51
McKeesport Ward 3 Dist 2,26,1,27
McKeesport Ward 4,34,10,44
McKeesport Ward 5,65,33,98
McKeesport Ward 6 Dist 1,32,16,49
McKeesport Ward 6 Dist 2,38,15,53
McKeesport Ward 7 Dist 1,90,24,114
McKeesport Ward 7 Dist 2,67,4,71
McKeesport Ward 7 Dist 3,43,15,58
McKeesport Ward 7 Dist 4,42,24,66
McKeesport Ward 7 Dist 5,64,30,94
McKeesport Ward 7 Dist 6,62,26,88
McKeesport Ward 7 Dist 7,64,10,74
McKeesport Ward 8 Dist 1,38,41,79
McKeesport Ward 8 Dist 2,91,67,158
McKeesport Ward 8 Dist 3,68,27,96
McKeesport Ward 8 Dist 4,65,89,154
McKeesport Ward 8 Dist 5,47,11,59
McKeesport Ward 8 Dist 6,27,22,49
McKeesport Ward 9 Dist 1,60,59,119
McKeesport Ward 9 Dist 2,74,77,151
McKeesport Ward 9 Dist 3,64,40,104
McKeesport Ward 10 Dist 1,33,28,61
McKeesport Ward 10 Dist 2,43,43,86
McKeesport Ward 11 Dist 1,72,69,141
McKeesport Ward 11 Dist 2,40,57,97
McKeesport Ward 11 Dist 3,55,42,98
McKeesport Ward 12 Dist 1,50,71,121
McKeesport Ward 12 Dist 2,58,83,141
McKeesport Ward 12 Dist 3,112,171,283
McKees Rocks Ward 1 Dist 1,20,3,23
McKees Rocks Ward 1 Dist 2,64,31,95
McKees Rocks Ward 2 Dist 1,75,44,119
McKees Rocks Ward 2 Dist 2,63,34,97
McKees Rocks Ward 3 Dist 1,110,94,205
McKees Rocks Ward 3 Dist 2,42,31,73
McKees Rocks Ward 3 Dist 3,66,36,102
Millvale Dist 1,106,44,151
Millvale Dist 2,80,48,129
Millvale Dist 3,118,42,160
Millvale Dist 4,95,60,155
Millvale Dist 5,129,78,207
Monroeville Ward 1 Dist 1,101,126,227
Monroeville Ward 1 Dist 2,137,158,297
Monroeville Ward 1 Dist 3,187,159,347
Monroeville Ward 1 Dist 4,132,90,222
Monroeville Ward 2 Dist 1,211,211,422
Monroeville Ward 2 Dist 2,250,203,454
Monroeville Ward 2 Dist 3,236,250,486
Monroeville Ward 3 Dist 1,206,265,471
Monroeville Ward 3 Dist 2,112,140,252
Monroeville Ward 3 Dist 3,205,230,435
Monroeville Ward 3 Dist 4,89,119,208
Monroeville Ward 4 Dist 1,126,153,279
Monroeville Ward 4 Dist 2,185,248,433
Monroeville Ward 4 Dist 3,179,232,411
Monroeville Ward 5 Dist 1,84,153,237
Monroeville Ward 5 Dist 2,135,74,211
Monroeville Ward 5 Dist 3,173,176,349
Monroeville Ward 5 Dist 4,98,64,162
Monroeville Ward 6 Dist 1,163,180,345
Monroeville Ward 6 Dist 2,173,138,311
Monroeville Ward 6 Dist 3,149,71,220
Monroeville Ward 6 Dist 4,73,34,107
Monroeville Ward 7 Dist 1,360,263,624
Monroeville Ward 7 Dist 2,179,117,296
Monroeville Ward 7 Dist 3,165,121,286
Moon Dist 1,151,209,361
Moon Dist 2,322,526,850
Moon Dist 3,240,274,514
Moon Dist 4,145,185,330
Moon Dist 5,426,647,1076
Moon Dist 6,393,717,1110
Moon Dist 7,250,266,517
Moon Dist 8,208,292,500
Moon Dist 9,279,484,764
Moon Dist 10,151,179,330
Moon Dist 11,265,400,665
Moon Dist 12,220,273,494
Moon Dist 13,133,207,340
Mt Lebanon Ward 1 Dist 1,186,290,477
Mt Lebanon Ward 1 Dist 2,175,89,264
Mt Lebanon Ward 1 Dist 3,185,157,342
Mt Lebanon Ward 1 Dist 4,238,184,423
Mt Lebanon Ward 1 Dist 5,188,165,353
Mt Lebanon Ward 1 Dist 6,252,312,565
Mt Lebanon Ward 1 Dist 7,223,125,348
Mt Lebanon Ward 2 Dist 1,265,253,518
Mt Lebanon Ward 2 Dist 2,175,144,319
Mt Lebanon Ward 2 Dist 3,198,153,352
Mt Lebanon Ward 2 Dist 4,156,97,254
Mt Lebanon Ward 2 Dist 5,167,142,309
Mt Lebanon Ward 2 Dist 6,153,155,308
Mt Lebanon Ward 2 Dist 7,182,162,345
Mt Lebanon Ward 2 Dist 8,225,285,512
Mt Lebanon Ward 3 Dist 1,168,203,372
Mt Lebanon Ward 3 Dist 2,250,191,441
Mt Lebanon Ward 3 Dist 3,169,213,383
Mt Lebanon Ward 3 Dist 4,179,147,327
Mt Lebanon Ward 3 Dist 5,184,206,390
Mt Lebanon Ward 3 Dist 6,137,100,239
Mt Lebanon Ward 3 Dist 7,218,245,464
Mt Lebanon Ward 3 Dist 8,71,91,162
Mt Lebanon Ward 4 Dist 1,191,138,329
Mt Lebanon Ward 4 Dist 2,231,157,389
Mt Lebanon Ward 4 Dist 3,187,130,317
Mt Lebanon Ward 4 Dist 4,180,170,350
Mt Lebanon Ward 4 Dist 5,171,155,328
Mt Lebanon Ward 4 Dist 6,198,157,356
Mt Lebanon Ward 4 Dist 7,256,158,414
Mt Lebanon Ward 5 Dist 1,166,137,304
Mt Lebanon Ward 5 Dist 2,92,69,161
Mt Lebanon Ward 5 Dist 3,183,111,294
Mt Lebanon Ward 5 Dist 4,185,136,321
Mt Lebanon Ward 5 Dist 5,200,185,385
Mt Lebanon Ward 5 Dist 6,134,111,246
Mt Lebanon Ward 5 Dist 7,242,161,404
Mt Lebanon Ward 5 Dist 8,261,116,377
Mt Oliver Dist 1,82,50,132
Mt Oliver Dist 2,95,52,147
Mt Oliver Dist 3,48,49,97
Mt Oliver Dist 4,53,26,80
Munhall Dist 1,53,45,99
Munhall Dist 2,73,38,111
Munhall Dist 3,85,35,120
Munhall Dist 4,68,47,115
Munhall Dist 5,126,126,252
Munhall Dist 6,128,149,277
Munhall Dist 7,235,205,440
Munhall Dist 8,153,164,318
Munhall Dist 9,123,123,246
Munhall Dist 10,89,99,189
Munhall Dist 11,181,231,412
Munhall Dist 12,116,147,263
Neville Ward 1,42,45,87
Neville Ward 2,27,36,63
Neville Ward 3,57,61,119
N Braddock Ward 1 Dist 1,60,51,111
N Braddock Ward 1 Dist 2,69,62,132
N Braddock Ward 1 Dist 3,67,33,100
N Braddock Ward 2 Dist 1,66,23,90
N Braddock Ward 2 Dist 2,109,58,167
N Braddock Ward 3 Dist 1,86,7,93
N Braddock Ward 3 Dist 2,74,19,93
N Fayette Dist 1,324,577,902
N Fayette Dist 2,329,467,797
N Fayette Dist 3,343,508,853
N Fayette Dist 4,122,201,323
N Fayette Dist 5,407,672,1080
N Versailles Ward 1 Dist 1,102,129,231
N Versailles Ward 1 Dist 2,118,137,256
N Versailles Ward 2 Dist 1,111,127,238
N Versailles Ward 2 Dist 2,33,36,69
N Versailles Ward 3 Dist 1,111,101,213
N Versailles Ward 3 Dist 2,110,94,204
N Versailles Ward 4 Dist 1,65,78,144
N Versailles Ward 4 Dist 2,62,80,142
N Versailles Ward 5 Dist 1,66,58,124
N Versailles Ward 5 Dist 2,49,46,96
N Versailles Ward 6 Dist 1,93,148,242
N Versailles Ward 6 Dist 2,84,127,211
N Versailles Ward 7,147,42,189
Oakdale Dist 1,108,140,248
Oakdale Dist 2,95,129,224
Oakmont Dist 1,235,228,463
Oakmont Dist 2,229,338,570
Oakmont Dist 3,163,195,359
Oakmont Dist 4,209,209,418
Oakmont Dist 5,174,159,333
Oakmont Dist 6,264,379,643
O'Hara Ward 1 Dist 1,173,175,348
O'Hara Ward 1 Dist 2,131,133,265
O'Hara Ward 2 Dist 1,161,164,325
O'Hara Ward 2 Dist 2,220,271,491
O'Hara Ward 3 Dist 1,224,212,437
O'Hara Ward 3 Dist 2,90,160,250
O'Hara Ward 4 Dist 1,204,226,430
O'Hara Ward 4 Dist 2,222,141,363
O'Hara Ward 5 Dist 1,178,202,380
O'Hara Ward 5 Dist 2,234,206,441
Ohio Dist 1,302,481,784
Ohio Dist 2,364,647,1011
Ohio Dist 3,364,483,847
Glen Osborne,136,126,262
Penn Hills Ward 1 Dist 1,206,26,232
Penn Hills Ward 1 Dist 2,225,38,263
Penn Hills Ward 1 Dist 3,97,9,106
Penn Hills Ward 1 Dist 4,72,9,81
Penn Hills Ward 1 Dist 5,59,1,60
Penn Hills Ward 2 Dist 1,193,31,224
Penn Hills Ward 2 Dist 2,180,19,200
Penn Hills Ward 2 Dist 3,221,48,269
Penn Hills Ward 2 Dist 4,216,47,264
Penn Hills Ward 3 Dist 1,203,124,327
Penn Hills Ward 3 Dist 2,134,52,186
Penn Hills Ward 3 Dist 3,159,46,206
Penn Hills Ward 3 Dist 4,168,57,225
Penn Hills Ward 3 Dist 5,67,25,92
Penn Hills Ward 3 Dist 6,103,61,164
Penn Hills Ward 4 Dist 1,153,56,209
Penn Hills Ward 4 Dist 2,142,67,210
Penn Hills Ward 4 Dist 3,172,89,261
Penn Hills Ward 4 Dist 4,139,72,211
Penn Hills Ward 4 Dist 5,131,70,201
Penn Hills Ward 5 Dist 1,150,71,221
Penn Hills Ward 5 Dist 2,91,52,143
Penn Hills Ward 5 Dist 3,171,107,279
Penn Hills Ward 5 Dist 4,140,89,230
Penn Hills Ward 5 Dist 5,146,62,208
Penn Hills Ward 5 Dist 6,151,102,253
Penn Hills Ward 6 Dist 1,99,66,165
Penn Hills Ward 6 Dist 2,138,68,207
Penn Hills Ward 6 Dist 3,144,71,215
Penn Hills Ward 6 Dist 4,127,28,155
Penn Hills Ward 6 Dist 5,157,46,203
Penn Hills Ward 6 Dist 6,120,78,198
Penn Hills Ward 7 Dist 1,173,65,238
Penn Hills Ward 7 Dist 2,123,94,217
Penn Hills Ward 7 Dist 3,192,108,301
Penn Hills Ward 7 Dist 4,121,98,220
Penn Hills Ward 7 Dist 5,168,95,263
Penn Hills Ward 7 Dist 6,156,77,233
Penn Hills Ward 7 Dist 7,88,87,175
Penn Hills Ward 8 Dist 1,122,128,250
Penn Hills Ward 8 Dist 2,116,126,243
Penn Hills Ward 8 Dist 3,102,132,235
Penn Hills Ward 8 Dist 4,141,124,266
Penn Hills Ward 8 Dist 5,172,150,322
Penn Hills Ward 8 Dist 6,96,104,200
Penn Hills Ward 9 Dist 1,116,119,236
Penn Hills Ward 9 Dist 2,112,122,234
Penn Hills Ward 9 Dist 3,186,162,348
Penn Hills Ward 9 Dist 4,142,126,268
Penn Hills Ward 9 Dist 5,87,15,102
Pine Dist 1,252,399,653
Pine Dist 2,361,687,1049
Pine Dist 3,82,138,220
Pine Dist 4,251,414,667
Pine Dist 5,275,467,742
Pine Dist 6,145,292,437
Pine Dist 7,251,385,637
Pine Dist 8,161,371,533
Pitcairn Dist 1,103,113,216
Pitcairn Dist 2,42,31,73
Pitcairn Dist 3,104,150,255
Pittsburgh Ward 1 Dist 1,198,89,287
Pittsburgh Ward 1 Dist 2,125,21,147
Pittsburgh Ward 2 Dist 1,390,230,623
Pittsburgh Ward 2 Dist 2,373,208,583
Pittsburgh Ward 3 Dist 1,63,7,70
Pittsburgh Ward 3 Dist 2,205,21,227
Pittsburgh Ward 3 Dist 3,116,0,116
Pittsburgh Ward 3 Dist 4,74,21,95
Pittsburgh Ward 3 Dist 5,104,9,113
Pittsburgh Ward 4 Dist 1,26,3,29
Pittsburgh Ward 4 Dist 2,122,26,148
Pittsburgh Ward 4 Dist 3,64,3,67
Pittsburgh Ward 4 Dist 4,44,3,47
Pittsburgh Ward 4 Dist 5,112,11,123
Pittsburgh Ward 4 Dist 6,62,9,71
Pittsburgh Ward 4 Dist 7,267,57,324
Pittsburgh Ward 4 Dist 8,210,17,228
Pittsburgh Ward 4 Dist 9,185,61,246
Pittsburgh Ward 4 Dist 10,98,23,121
Pittsburgh Ward 4 Dist 11,230,99,330
Pittsburgh Ward 4 Dist 12,145,48,193
Pittsburgh Ward 4 Dist 13,107,28,135
Pittsburgh Ward 4 Dist 14,155,14,169
Pittsburgh Ward 4 Dist 15,116,33,149
Pittsburgh Ward 4 Dist 16,170,16,186
Pittsburgh Ward 4 Dist 17,130,32,162
Pittsburgh Ward 4 Dist 18,104,6,110
Pittsburgh Ward 4 Dist 19,26,11,38
Pittsburgh Ward 5 Dist 1,50,5,56
Pittsburgh Ward 5 Dist 2,78,3,81
Pittsburgh Ward 5 Dist 3,32,1,33
Pittsburgh Ward 5 Dist 4,55,3,58
Pittsburgh Ward 5 Dist 5,57,1,58
Pittsburgh Ward 5 Dist 6,60,6,66
Pittsburgh Ward 5 Dist 7,98,10,108
Pittsburgh Ward 5 Dist 8,127,18,145
Pittsburgh Ward 5 Dist 9,212,52,264
Pittsburgh Ward 5 Dist 10,113,8,121
Pittsburgh Ward 5 Dist 11,87,6,93
Pittsburgh Ward 5 Dist 12,86,8,95
Pittsburgh Ward 5 Dist 13,51,4,55
Pittsburgh Ward 5 Dist 14,70,2,72
Pittsburgh Ward 5 Dist 15,25,3,28
Pittsburgh Ward 5 Dist 16,38,0,38
Pittsburgh Ward 5 Dist 17,60,2,62
Pittsburgh Ward 5 Dist 18,7,0,7
Pittsburgh Ward 6 Dist 1,326,115,441
Pittsburgh Ward 6 Dist 2,165,50,215
Pittsburgh Ward 6 Dist 3,196,63,260
Pittsburgh Ward 6 Dist 4,174,77,251
Pittsburgh Ward 6 Dist 5,145,53,199
Pittsburgh Ward 7 Dist 1,126,102,230
Pittsburgh Ward 7 Dist 2,256,221,478
Pittsburgh Ward 7 Dist 3,201,39,241
Pittsburgh Ward 7 Dist 4,245,51,296
Pittsburgh Ward 7 Dist 5,152,53,205
Pittsburgh Ward 7 Dist 6,171,49,220
Pittsburgh Ward 7 Dist 7,205,73,278
Pittsburgh Ward 7 Dist 8,181,49,230
Pittsburgh Ward 7 Dist 9,201,62,263
Pittsburgh Ward 7 Dist 10,276,83,360
Pittsburgh Ward 7 Dist 11,322,82,406
Pittsburgh Ward 7 Dist 12,278,87,366
Pittsburgh Ward 7 Dist 13,106,24,130
Pittsburgh Ward 7 Dist 14,96,61,157
Pittsburgh Ward 8 Dist 1,93,42,136
Pittsburgh Ward 8 Dist 2,175,75,250
Pittsburgh Ward 8 Dist 3,165,98,263
Pittsburgh Ward 8 Dist 4,165,60,228
Pittsburgh Ward 8 Dist 5,196,77,274
Pittsburgh Ward 8 Dist 6,125,47,172
Pittsburgh Ward 8 Dist 7,251,36,287
Pittsburgh Ward 8 Dist 8,208,45,253
Pittsburgh Ward 8 Dist 9,200,20,220
Pittsburgh Ward 8 Dist 10,204,48,253
Pittsburgh Ward 8 Dist 11,158,48,206
Pittsburgh Ward 8 Dist 12,201,35,236
Pittsburgh Ward 8 Dist 13,115,8,123
