district,prob_rep_wins
PA-10,0.86605
PA-11,0.999375
PA-12,0.0084
PA-13,1
PA-14,1
PA-15,1
PA-16,0.9993
PA-17,0.343225
PA-2,0
PA-3,0
PA-4,0.021375
PA-5,0.00105
PA-6,0.02285
PA-7,0.6287
PA-8,0.3226
PA-9,1
RI-1,0.00015
RI-2,0.2115
SC-1,0.985
SC-2,0.99615
SC-3,1
SC-4,1
SC-5,0.999575
SC-6,0.0009
SC-7,0.9972
SD-1,0.999925
TN-1,1
TN-2,0.99995
TN-3,1
TN-4,1
TN-5,0.896525
TN-6,1
TN-7,0.99805
TN-8,1
TN-9,0
TX-1,1
TX-10,0.99855
TX-11,1
TX-12,0.9997
TX-13,0.999975
TX-14,0.9999
TX-15,0.4195
TX-16,0.00085
TX-17,0.999575
TX-18,0
TX-19,0.9999
TX-2,0.9994
TX-20,0.00175
TX-21,0.99685
TX-22,0.998475
TX-23,0.93045
TX-24,0.95935
TX-25,1
TX-26,0.99985
TX-27,0.99995
TX-28,0.19665
TX-29,0.00015
TX-3,0.99555
TX-30,0
TX-31,1
TX-32,0.004475
TX-33,0.000025
TX-34,0.1745
TX-35,0.00005
TX-36,1
TX-37,0.00005
TX-38,0.99785
TX-4,0.999875
TX-5,0.999575
TX-6,1
TX-7,0.0079
TX-8,0.9994
TX-9,0.000025
UT-1,0.99995
UT-2,0.997375
UT-3,0.99915
UT-4,0.9986
VA-1,0.995025
VA-10,0.050275
VA-11,0.000075
VA-2,0.63825
VA-3,0.00025
VA-4,0.000575
VA-5,0.9875
VA-6,0.999875
VA-7,0.24655
VA-8,0
VA-9,1
VT-1,0.0042
WA-1,0.0025
WA-10,0.00495
WA-2,0.00095
WA-3,0.93585
WA-4,0.999875
WA-5,0.9931
WA-6,0.015225
WA-7,0
WA-8,0.182425
WA-9,0
WI-1,0.975825
WI-2,0.000125
WI-3,0.848025
WI-4,0
WI-5,0.999625
WI-6,1
WI-7,0.9993
WI-8,1
WV-1,0.999975
WV-2,0.9992
WY-1,0.999975
LA-1,1
LA-2,0
LA-3,0.85685
LA-4,1
LA-5,0.92065
LA-6,1
